Domain,Division,Class,Order ,Family ,Genus,Species,Max R,Optimum,Breadth,Aero,Umax,Ltime,Biofilm,Motility
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,58.9044,0.000691919,0.000733898,0.5246,0.0777,5.4051,0.1658,0.208
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,,64.0758,0.0463583,0.009701222,0.1966,0.1151,4.2602,0.1045,0.417
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,,69.58,0.00930406,0.021126476,0.3721,0.1184,4.3776,0.1927,0.208
Bacteria,Proteobacteria,Beta Proteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,,24.792,0.000536973,0.010890422,0.8579,0.0647,1.3002,0.1506,0.25
Bacteria,Proteobacteria,Alpha Proteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,,74.3,0.099,0.0225,0.3381,0.0318,7.0098,0.2056,0.25
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,,45.6127,0.0106133,0.004755604,0.1132,0.0325,18.1012,1.9892,0.25
Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,64.25,0.037,0.031439824,0.6158,0.013,2.5757,0.2573,0.292
Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,58.79,0.001,0.097340083,1.0205,0.083,6.256,0.5275,2.75
Bacteria,Proteobacteria,Beta Proteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium  ,,64.01,0.001,0.00577325,0.2308,0.1062,6.4703,1.7569,1.042
Bacteria,Proteobacteria,Gamma Proteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,,90.03,0.0025,9.70E-05,0.4186,0.0282,0.4743,0.2965,1.875
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,,10.76,0.242,0.464549849,0.3081,0.0526,29.2178,2.6356,0.167
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,,107.52,0.518,0.384793031,0.3135,0.0544,7.0903,1.0132,0.292
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,68.25,0.87,0.869169746,0.1681,0.0682,9.2886,1.583,0.292
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,24.97,0.01,0.016819022,0.3088,0.0469,3.9757,0.8461,0.292
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae æ ,Oerskovia,,21.148,0.0096,0.0761136,0.1474,0.0894,10.6443,0.2748,0.5
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,,91.5,0.256,0.086564226,0.7322,0.0742,11.1365,1.1951,0.333
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Riemeralla,,11.91,0.0106,0.017077221,1.1281,0.0082,21.9678,0.0088,0.208
Bacteria,Proteobacteria,Beta Proteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,19.73,0.052,0.039493247,0.7421,0.0092,23.7909,0.0918,0.208
Bacteria,Proteobacteria,Beta Proteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,71.4,0.236,0.212569607,0.3489,0.0719,8.7902,0.4224,1.042
Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,58.21,0.32,0.146437121,0.8706,0.1134,5.7935,0.2889,1.875
